Chemin du fichier, Nom du paquet, Nom de la classe, tloc de la classe, tassert de la classe, tcmp de la classe = tloc / tassert
../../jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java, org.jfree.chart.renderer.category, BoxAndWhiskerRendererTest, 307, 40, 7.675
../../jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRendererTest.java, org.jfree.chart.renderer.xy, StackedXYAreaRendererTest, 123, 17, 7.2352943
../../jfreechart-master/src/test/java/org/jfree/chart/StackedBarChartTest.java, org.jfree.chart, StackedBarChartTest, 90, 6, 15.0
../../jfreechart-master/src/test/java/org/jfree/chart/XYLineChartTest.java, org.jfree.chart, XYLineChartTest, 82, 5, 16.4
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java, org.jfree.chart.plot, CombinedRangeXYPlotTest, 156, 9, 17.333334
../../jfreechart-master/src/test/java/org/jfree/chart/plot/MeterIntervalTest.java, org.jfree.chart.plot, MeterIntervalTest, 43, 6, 7.1666665
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java, org.jfree.chart.plot, CombinedDomainXYPlotTest, 162, 10, 16.2
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java, org.jfree.chart.plot, CombinedRangeCategoryPlotTest, 160, 8, 20.0
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java, org.jfree.chart.plot, CombinedDomainCategoryPlotTest, 160, 9, 17.777779
../../jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest.java, org.jfree.chart, GanttChartTest, 171, 4, 42.75
../../jfreechart-master/src/test/java/org/jfree/chart/XYBarChartTest.java, org.jfree.chart, XYBarChartTest, 85, 5, 17.0
../../jfreechart-master/src/test/java/org/jfree/chart/XYStepChartTest.java, org.jfree.chart, XYStepChartTest, 91, 5, 18.2
../../jfreechart-master/src/test/java/org/jfree/chart/swing/ChartPanelTest.java, org.jfree.chart.swing, ChartPanelTest, 216, 23, 9.391304
../../jfreechart-master/src/test/java/org/jfree/chart/labels/CustomXYItemLabelGeneratorTest.java, org.jfree.chart.labels, CustomXYItemLabelGeneratorTest, 39, 5, 7.8
../../jfreechart-master/src/test/java/org/jfree/chart/AreaChartTest.java, org.jfree.chart, AreaChartTest, 94, 6, 15.666667
../../jfreechart-master/src/test/java/org/jfree/chart/StackedAreaChartTest.java, org.jfree.chart, StackedAreaChartTest, 88, 6, 14.666667
../../jfreechart-master/src/test/java/org/jfree/chart/ScatterPlotTest.java, org.jfree.chart, ScatterPlotTest, 82, 5, 16.4
../../jfreechart-master/src/test/java/org/jfree/chart/XYAreaChartTest.java, org.jfree.chart, XYAreaChartTest, 81, 5, 16.2
../../jfreechart-master/src/test/java/org/jfree/chart/axis/DateTickUnitTest.java, org.jfree.chart.axis, DateTickUnitTest, 28, 4, 7.0
../../jfreechart-master/src/test/java/org/jfree/chart/axis/LogarithmicAxisTest.java, org.jfree.chart.axis, LogarithmicAxisTest, 122, 11, 11.090909
../../jfreechart-master/src/test/java/org/jfree/chart/axis/CategoryLabelPositionsTest.java, org.jfree.chart.axis, CategoryLabelPositionsTest, 114, 12, 9.5
../../jfreechart-master/src/test/java/org/jfree/chart/axis/CategoryLabelWidthTypeTest.java, org.jfree.chart.axis, CategoryLabelWidthTypeTest, 29, 4, 7.25
../../jfreechart-master/src/test/java/org/jfree/chart/BarChartTest.java, org.jfree.chart, BarChartTest, 91, 6, 15.166667
../../jfreechart-master/src/test/java/org/jfree/chart/TimeSeriesChartTest.java, org.jfree.chart, TimeSeriesChartTest, 82, 5, 16.4
../../jfreechart-master/src/test/java/org/jfree/chart/LineChartTest.java, org.jfree.chart, LineChartTest, 87, 5, 17.4
../../jfreechart-master/src/test/java/org/jfree/chart/XYStepAreaChartTest.java, org.jfree.chart, XYStepAreaChartTest, 81, 5, 16.2
../../jfreechart-master/src/test/java/org/jfree/data/statistics/RegressionTest.java, org.jfree.data.statistics, RegressionTest, 134, 16, 8.375
../../jfreechart-master/src/test/java/org/jfree/data/general/DefaultKeyedValuesDatasetTest.java, org.jfree.data.general, DefaultKeyedValuesDatasetTest, 28, 4, 7.0
../../jfreechart-master/src/test/java/org/jfree/data/general/DefaultKeyedValues2DDatasetTest.java, org.jfree.data.general, DefaultKeyedValues2DDatasetTest, 28, 4, 7.0
../../jfreechart-master/src/test/java/org/jfree/data/time/FixedMillisecondTest.java, org.jfree.data.time, FixedMillisecondTest, 36, 5, 7.2
../../jfreechart-master/src/test/java/org/jfree/data/xy/XYBarDatasetTest.java, org.jfree.data.xy, XYBarDatasetTest, 65, 9, 7.2222223
